source,target,weight,distance,electrode
e0_t10,e0_t15,0.0667,5,FP1
e0_t11,e0_t14,0.0667,3,FP1
e0_t12,e0_t13,0.1333,1,FP1
e0_t16,e0_t85,0.0667,69,FP1
e0_t16,e0_t98,0.0667,82,FP1
e0_t17,e0_t77,0.0667,60,FP1
e0_t17,e0_t83,0.0667,66,FP1
e0_t17,e0_t84,0.0667,67,FP1
e0_t18,e0_t22,0.1333,4,FP1
e0_t24,e0_t30,0.0667,6,FP1
e0_t31,e0_t51,0.0667,20,FP1
e0_t31,e0_t52,0.0667,21,FP1
e0_t32,e0_t37,0.0667,5,FP1
e0_t32,e0_t42,0.0667,10,FP1
e0_t32,e0_t43,0.0667,11,FP1
e0_t32,e0_t44,0.0667,12,FP1
e0_t32,e0_t45,0.0667,13,FP1
e0_t33,e0_t35,0.0667,2,FP1
e0_t33,e0_t37,0.0667,4,FP1
e0_t38,e0_t39,0.2,1,FP1
e0_t39,e0_t42,0.0667,3,FP1
e0_t45,e0_t51,0.0667,6,FP1
e0_t48,e0_t50,0.0667,2,FP1
e0_t52,e0_t53,0.1333,1,FP1
e0_t52,e0_t61,0.0667,9,FP1
e0_t52,e0_t75,0.0667,23,FP1
e0_t53,e0_t54,0.2667,1,FP1
e0_t53,e0_t58,0.0667,5,FP1
e0_t54,e0_t55,0.2,1,FP1
e0_t54,e0_t57,0.1333,3,FP1
e0_t55,e0_t57,0.0667,2,FP1
e0_t57,e0_t58,0.2,1,FP1
e0_t67,e0_t68,0.3333,1,FP1
e0_t73,e0_t74,0.2,1,FP1
e0_t86,e0_t98,0.0667,12,FP1
e0_t87,e0_t98,0.0667,11,FP1
e0_t88,e0_t91,0.1333,3,FP1
e0_t88,e0_t93,0.0667,5,FP1
e0_t89,e0_t90,0.2667,1,FP1
e0_t95,e0_t97,0.0667,2,FP1
e0_t96,e0_t97,0.2667,1,FP1
e0_t97,e0_t98,0.2667,1,FP1
e0_t100,e0_t105,0.0667,5,FP1
e0_t100,e0_t106,0.0667,6,FP1
e0_t100,e0_t109,0.0667,9,FP1
e0_t100,e0_t110,0.0667,10,FP1
e0_t100,e0_t111,0.0667,11,FP1
e0_t101,e0_t102,0.2,1,FP1
e0_t115,e0_t116,0.2,1,FP1
e0_t121,e0_t125,0.0667,4,FP1
e0_t123,e0_t125,0.0667,2,FP1
e0_t125,e0_t126,0.1333,1,FP1
e0_t127,e0_t128,0.2,1,FP1
e0_t127,e0_t142,0.0667,15,FP1
e0_t128,e0_t129,0.2,1,FP1
e0_t129,e0_t132,0.0667,3,FP1
e0_t131,e0_t132,0.2667,1,FP1
e0_t132,e0_t133,0.3333,1,FP1
e0_t134,e0_t142,0.0667,8,FP1
e0_t139,e0_t140,0.0667,1,FP1
e0_t144,e0_t211,0.0667,67,FP1
e0_t144,e0_t212,0.0667,68,FP1
e0_t144,e0_t224,0.0667,80,FP1
e0_t144,e0_t225,0.0667,81,FP1
e0_t144,e0_t231,0.0667,87,FP1
e0_t144,e0_t232,0.0667,88,FP1
e0_t145,e0_t146,0.1333,1,FP1
e0_t145,e0_t150,0.0667,5,FP1
e0_t145,e0_t166,0.0667,21,FP1
e0_t145,e0_t209,0.0667,64,FP1
e0_t146,e0_t147,0.1333,1,FP1
e0_t146,e0_t148,0.0667,2,FP1
e0_t167,e0_t168,0.2667,1,FP1
e0_t168,e0_t180,0.0667,12,FP1
e0_t183,e0_t184,0.2667,1,FP1
e0_t183,e0_t187,0.0667,4,FP1
e0_t197,e0_t198,0.2,1,FP1
e0_t63,e0_t115,0.0667,52,FP1
e0_t136,e0_t137,0.0667,1,FP1
e0_t198,e0_t242,0.0667,44,FP1
e0_t212,e0_t216,0.0667,4,FP1
e0_t213,e0_t215,0.0667,2,FP1
e0_t217,e0_t237,0.0667,20,FP1
e0_t218,e0_t222,0.0667,4,FP1
e0_t219,e0_t221,0.0667,2,FP1
e0_t232,e0_t237,0.0667,5,FP1
e0_t241,e0_t242,0.2,1,FP1
e0_t8,e0_t124,0.0667,116,FP1
e0_t14,e0_t123,0.0667,109,FP1
e0_t63,e0_t67,0.0667,4,FP1
e0_t129,e0_t130,0.2,1,FP1
e0_t130,e0_t131,0.2,1,FP1
e0_t147,e0_t148,0.2,1,FP1
e0_t147,e0_t214,0.0667,67,FP1
e0_t147,e0_t215,0.0667,68,FP1
e0_t147,e0_t216,0.0667,69,FP1
e0_t147,e0_t217,0.0667,70,FP1
e0_t147,e0_t218,0.0667,71,FP1
e0_t147,e0_t219,0.0667,72,FP1
e0_t148,e0_t149,0.2,1,FP1
e0_t148,e0_t212,0.0667,64,FP1
e0_t153,e0_t154,0.1333,1,FP1
e0_t154,e0_t155,0.2667,1,FP1
e0_t154,e0_t196,0.0667,42,FP1
e0_t154,e0_t205,0.0667,51,FP1
e0_t155,e0_t156,0.2667,1,FP1
e0_t156,e0_t196,0.0667,40,FP1
e0_t160,e0_t161,0.2667,1,FP1
e0_t160,e0_t195,0.0667,35,FP1
e0_t168,e0_t183,0.0667,15,FP1
e0_t169,e0_t183,0.0667,14,FP1
e0_t171,e0_t172,0.2,1,FP1
e0_t174,e0_t175,0.1333,1,FP1
e0_t185,e0_t195,0.0667,10,FP1
e0_t186,e0_t195,0.0667,9,FP1
e0_t198,e0_t205,0.0667,7,FP1
e0_t199,e0_t203,0.0667,4,FP1
e0_t200,e0_t202,0.0667,2,FP1
e0_t235,e0_t240,0.0667,5,FP1
e0_t242,e0_t243,0.2667,1,FP1
e0_t18,e0_t34,0.0667,16,FP1
e0_t22,e0_t34,0.0667,12,FP1
e0_t24,e0_t27,0.0667,3,FP1
e0_t28,e0_t33,0.0667,5,FP1
e0_t28,e0_t34,0.0667,6,FP1
e0_t30,e0_t33,0.0667,3,FP1
e0_t35,e0_t41,0.0667,6,FP1
e0_t35,e0_t42,0.0667,7,FP1
e0_t35,e0_t48,0.0667,13,FP1
e0_t36,e0_t40,0.0667,4,FP1
e0_t37,e0_t39,0.0667,2,FP1
e0_t37,e0_t40,0.0667,3,FP1
e0_t42,e0_t43,0.0667,1,FP1
e0_t43,e0_t47,0.0667,4,FP1
e0_t43,e0_t48,0.0667,5,FP1
e0_t44,e0_t47,0.1333,3,FP1
e0_t49,e0_t62,0.0667,13,FP1
e0_t50,e0_t54,0.1333,4,FP1
e0_t50,e0_t62,0.0667,12,FP1
e0_t57,e0_t61,0.0667,4,FP1
e0_t58,e0_t60,0.0667,2,FP1
e0_t63,e0_t68,0.0667,5,FP1
e0_t65,e0_t67,0.0667,2,FP1
e0_t69,e0_t75,0.0667,6,FP1
e0_t71,e0_t74,0.0667,3,FP1
e0_t77,e0_t78,0.1333,1,FP1
e0_t77,e0_t86,0.0667,9,FP1
e0_t78,e0_t82,0.0667,4,FP1
e0_t86,e0_t87,0.2,1,FP1
e0_t89,e0_t92,0.1333,3,FP1
e0_t89,e0_t99,0.0667,10,FP1
e0_t94,e0_t97,0.0667,3,FP1
e0_t99,e0_t120,0.0667,21,FP1
e0_t100,e0_t107,0.0667,7,FP1
e0_t100,e0_t118,0.0667,18,FP1
e0_t101,e0_t105,0.0667,4,FP1
e0_t102,e0_t104,0.0667,2,FP1
e0_t109,e0_t113,0.0667,4,FP1
e0_t110,e0_t112,0.0667,2,FP1
