source,target,weight,distance,electrode
e4_t193,e4_t194,0.2667,1,FZ
e4_t193,e4_t195,0.0667,2,FZ
e4_t195,e4_t196,0.2,1,FZ
e4_t196,e4_t197,0.2667,1,FZ
e4_t198,e4_t199,0.2667,1,FZ
e4_t199,e4_t200,0.3333,1,FZ
e4_t200,e4_t201,0.2667,1,FZ
e4_t201,e4_t202,0.2,1,FZ
e4_t201,e4_t254,0.0667,53,FZ
e4_t202,e4_t203,0.1333,1,FZ
e4_t207,e4_t254,0.0667,47,FZ
e4_t208,e4_t209,0.2,1,FZ
e4_t208,e4_t249,0.0667,41,FZ
e4_t209,e4_t210,0.2667,1,FZ
e4_t210,e4_t249,0.0667,39,FZ
e4_t213,e4_t214,0.2667,1,FZ
e4_t214,e4_t215,0.2667,1,FZ
e4_t214,e4_t220,0.0667,6,FZ
e4_t214,e4_t244,0.0667,30,FZ
e4_t214,e4_t245,0.0667,31,FZ
e4_t214,e4_t248,0.0667,34,FZ
e4_t215,e4_t216,0.4,1,FZ
e4_t215,e4_t218,0.0667,3,FZ
e4_t218,e4_t219,0.2667,1,FZ
e4_t221,e4_t222,0.3333,1,FZ
e4_t221,e4_t233,0.0667,12,FZ
e4_t221,e4_t234,0.0667,13,FZ
e4_t222,e4_t223,0.3333,1,FZ
e4_t222,e4_t227,0.0667,5,FZ
e4_t222,e4_t232,0.0667,10,FZ
e4_t229,e4_t232,0.0667,3,FZ
e4_t234,e4_t238,0.0667,4,FZ
e4_t235,e4_t237,0.0667,2,FZ
e4_t238,e4_t239,0.3333,1,FZ
e4_t247,e4_t248,0.3333,1,FZ
e4_t253,e4_t254,0.1333,1,FZ
e4_t1,e4_t2,0.2667,1,FZ
e4_t1,e4_t96,0.0667,95,FZ
e4_t2,e4_t3,0.2667,1,FZ
e4_t2,e4_t95,0.0667,93,FZ
e4_t4,e4_t94,0.0667,90,FZ
e4_t5,e4_t94,0.0667,89,FZ
e4_t6,e4_t7,0.1333,1,FZ
e4_t6,e4_t11,0.0667,5,FZ
e4_t6,e4_t12,0.0667,6,FZ
e4_t6,e4_t83,0.0667,77,FZ
e4_t6,e4_t84,0.0667,78,FZ
e4_t7,e4_t8,0.1333,1,FZ
e4_t7,e4_t10,0.1333,3,FZ
e4_t12,e4_t61,0.0667,49,FZ
e4_t12,e4_t62,0.0667,50,FZ
e4_t13,e4_t14,0.0667,1,FZ
e4_t13,e4_t18,0.0667,5,FZ
e4_t14,e4_t15,0.0667,1,FZ
e4_t14,e4_t17,0.0667,3,FZ
e4_t14,e4_t18,0.0667,4,FZ
e4_t15,e4_t17,0.0667,2,FZ
e4_t16,e4_t17,0.2,1,FZ
e4_t20,e4_t21,0.1333,1,FZ
e4_t20,e4_t59,0.0667,39,FZ
e4_t21,e4_t22,0.1333,1,FZ
e4_t22,e4_t48,0.0667,26,FZ
e4_t25,e4_t26,0.2,1,FZ
e4_t25,e4_t42,0.1333,17,FZ
e4_t25,e4_t43,0.0667,18,FZ
e4_t25,e4_t46,0.0667,21,FZ
e4_t26,e4_t27,0.2,1,FZ
e4_t26,e4_t30,0.0667,4,FZ
e4_t38,e4_t41,0.1333,3,FZ
e4_t40,e4_t41,0.2667,1,FZ
e4_t41,e4_t42,0.2,1,FZ
e4_t44,e4_t46,0.1333,2,FZ
e4_t55,e4_t59,0.0667,4,FZ
e4_t59,e4_t60,0.2,1,FZ
e4_t63,e4_t77,0.0667,14,FZ
e4_t75,e4_t76,0.0667,1,FZ
e4_t87,e4_t88,0.2,1,FZ
e4_t89,e4_t94,0.0667,5,FZ
e4_t90,e4_t94,0.0667,4,FZ
e4_t93,e4_t94,0.0667,1,FZ
e4_t94,e4_t95,0.2,1,FZ
e4_t95,e4_t96,0.2,1,FZ
e4_t96,e4_t97,0.1333,1,FZ
e4_t97,e4_t98,0.2,1,FZ
e4_t111,e4_t112,0.1333,1,FZ
e4_t116,e4_t225,0.0667,109,FZ
e4_t117,e4_t223,0.0667,106,FZ
e4_t118,e4_t119,0.0667,1,FZ
e4_t118,e4_t222,0.0667,104,FZ
e4_t120,e4_t222,0.0667,102,FZ
e4_t122,e4_t221,0.0667,99,FZ
e4_t127,e4_t217,0.0667,90,FZ
e4_t127,e4_t219,0.0667,92,FZ
e4_t128,e4_t216,0.0667,88,FZ
e4_t136,e4_t137,0.2,1,FZ
e4_t137,e4_t138,0.2,1,FZ
e4_t137,e4_t142,0.0667,5,FZ
e4_t138,e4_t141,0.0667,3,FZ
e4_t143,e4_t144,0.2,1,FZ
e4_t143,e4_t175,0.0667,32,FZ
e4_t143,e4_t176,0.0667,33,FZ
e4_t143,e4_t177,0.0667,34,FZ
e4_t143,e4_t178,0.0667,35,FZ
e4_t143,e4_t184,0.0667,41,FZ
e4_t143,e4_t194,0.0667,51,FZ
e4_t144,e4_t148,0.0667,4,FZ
e4_t144,e4_t149,0.0667,5,FZ
e4_t145,e4_t147,0.0667,2,FZ
e4_t147,e4_t148,0.2,1,FZ
e4_t150,e4_t160,0.0667,10,FZ
e4_t162,e4_t166,0.0667,4,FZ
e4_t219,e4_t220,0.2667,1,FZ
e4_t220,e4_t221,0.0667,1,FZ
e4_t223,e4_t224,0.2667,1,FZ
e4_t224,e4_t225,0.2,1,FZ
e4_t243,e4_t244,0.2,1,FZ
e4_t244,e4_t245,0.2,1,FZ
e4_t245,e4_t246,0.1333,1,FZ
e4_t250,e4_t251,0.2,1,FZ
e4_t56,e4_t176,0.0667,120,FZ
e4_t57,e4_t176,0.0667,119,FZ
e4_t59,e4_t175,0.0667,116,FZ
e4_t61,e4_t175,0.0667,114,FZ
e4_t62,e4_t175,0.0667,113,FZ
e4_t69,e4_t133,0.0667,64,FZ
e4_t72,e4_t128,0.0667,56,FZ
e4_t74,e4_t127,0.0667,53,FZ
e4_t125,e4_t126,0.1333,1,FZ
e4_t132,e4_t133,0.2,1,FZ
e4_t133,e4_t134,0.2,1,FZ
e4_t145,e4_t171,0.0667,26,FZ
e4_t146,e4_t147,0.1333,1,FZ
e4_t146,e4_t162,0.0667,16,FZ
e4_t174,e4_t175,0.2667,1,FZ
e4_t190,e4_t191,0.2,1,FZ
e4_t197,e4_t198,0.2,1,FZ
e4_t203,e4_t204,0.2,1,FZ
e4_t204,e4_t205,0.2667,1,FZ
e4_t210,e4_t211,0.2,1,FZ
e4_t210,e4_t251,0.0667,41,FZ
e4_t211,e4_t212,0.2,1,FZ
e4_t211,e4_t249,0.0667,38,FZ
e4_t212,e4_t213,0.2667,1,FZ
e4_t212,e4_t216,0.0667,4,FZ
e4_t213,e4_t216,0.1333,3,FZ
e4_t217,e4_t224,0.0667,7,FZ
e4_t217,e4_t242,0.0667,25,FZ
e4_t218,e4_t222,0.0667,4,FZ
e4_t219,e4_t221,0.0667,2,FZ
e4_t236,e4_t237,0.2,1,FZ
e4_t243,e4_t248,0.0667,5,FZ
e4_t26,e4_t132,0.0667,106,FZ
e4_t30,e4_t132,0.0667,102,FZ
e4_t41,e4_t130,0.0667,89,FZ
e4_t45,e4_t124,0.0667,79,FZ
e4_t51,e4_t123,0.0667,72,FZ
e4_t53,e4_t122,0.0667,69,FZ
e4_t63,e4_t69,0.0667,6,FZ
e4_t64,e4_t68,0.0667,4,FZ
e4_t67,e4_t68,0.2,1,FZ
e4_t68,e4_t69,0.1333,1,FZ
e4_t129,e4_t130,0.1333,1,FZ
e4_t130,e4_t131,0.2,1,FZ
e4_t131,e4_t132,0.2,1,FZ
e4_t148,e4_t149,0.1333,1,FZ
e4_t154,e4_t254,0.0667,100,FZ
e4_t155,e4_t251,0.0667,96,FZ
e4_t161,e4_t226,0.0667,65,FZ
e4_t161,e4_t227,0.0667,66,FZ
e4_t171,e4_t175,0.0667,4,FZ
e4_t171,e4_t183,0.0667,12,FZ
e4_t198,e4_t205,0.0667,7,FZ
e4_t198,e4_t213,0.0667,15,FZ
e4_t199,e4_t204,0.0667,5,FZ
e4_t16,e4_t143,0.0667,127,FZ
e4_t17,e4_t68,0.0667,51,FZ
e4_t17,e4_t69,0.0667,52,FZ
e4_t18,e4_t62,0.0667,44,FZ
e4_t18,e4_t63,0.0667,45,FZ
e4_t19,e4_t20,0.2,1,FZ
e4_t20,e4_t62,0.0667,42,FZ
e4_t22,e4_t23,0.2,1,FZ
e4_t23,e4_t24,0.1333,1,FZ
e4_t23,e4_t55,0.0667,32,FZ
e4_t23,e4_t61,0.0667,38,FZ
e4_t24,e4_t25,0.1333,1,FZ
e4_t28,e4_t34,0.0667,6,FZ
e4_t28,e4_t35,0.0667,7,FZ
e4_t28,e4_t48,0.0667,20,FZ
e4_t28,e4_t49,0.0667,21,FZ
e4_t29,e4_t33,0.0667,4,FZ
e4_t30,e4_t32,0.0667,2,FZ
e4_t30,e4_t33,0.0667,3,FZ
e4_t36,e4_t37,0.1333,1,FZ
e4_t36,e4_t40,0.0667,4,FZ
e4_t36,e4_t41,0.0667,5,FZ
e4_t36,e4_t48,0.0667,12,FZ
e4_t37,e4_t39,0.0667,2,FZ
e4_t42,e4_t43,0.0667,1,FZ
e4_t42,e4_t47,0.0667,5,FZ
e4_t42,e4_t48,0.0667,6,FZ
e4_t43,e4_t44,0.2,1,FZ
e4_t44,e4_t47,0.1333,3,FZ
e4_t49,e4_t55,0.0667,6,FZ
e4_t50,e4_t55,0.0667,5,FZ
e4_t51,e4_t54,0.0667,3,FZ
e4_t56,e4_t61,0.0667,5,FZ
e4_t57,e4_t59,0.0667,2,FZ
e4_t64,e4_t67,0.0667,3,FZ
e4_t69,e4_t142,0.0667,73,FZ
e4_t70,e4_t71,0.1333,1,FZ
e4_t70,e4_t74,0.0667,4,FZ
e4_t71,e4_t73,0.0667,2,FZ
e4_t76,e4_t77,0.0667,1,FZ
e4_t76,e4_t140,0.0667,64,FZ
e4_t77,e4_t78,0.0667,1,FZ
e4_t77,e4_t87,0.0667,10,FZ
e4_t77,e4_t139,0.0667,62,FZ
e4_t78,e4_t79,0.0667,1,FZ
e4_t79,e4_t86,0.0667,7,FZ
e4_t88,e4_t131,0.0667,43,FZ
e4_t88,e4_t135,0.0667,47,FZ
e4_t89,e4_t92,0.0667,3,FZ
e4_t89,e4_t93,0.0667,4,FZ
e4_t95,e4_t98,0.1333,3,FZ
e4_t100,e4_t107,0.0667,7,FZ
e4_t101,e4_t105,0.1333,4,FZ
e4_t102,e4_t104,0.1333,2,FZ
e4_t107,e4_t129,0.0667,22,FZ
e4_t108,e4_t122,0.0667,14,FZ
e4_t108,e4_t123,0.0667,15,FZ
e4_t108,e4_t124,0.0667,16,FZ
e4_t108,e4_t125,0.0667,17,FZ
e4_t109,e4_t112,0.0667,3,FZ
e4_t115,e4_t116,0.1333,1,FZ
e4_t115,e4_t118,0.1333,3,FZ
e4_t132,e4_t135,0.0667,3,FZ
e4_t134,e4_t135,0.1333,1,FZ
e4_t139,e4_t140,0.0667,1,FZ
e4_t142,e4_t143,0.1333,1,FZ
e4_t155,e4_t158,0.1333,3,FZ
e4_t155,e4_t159,0.0667,4,FZ
e4_t159,e4_t160,0.1333,1,FZ
e4_t160,e4_t165,0.1333,5,FZ
e4_t160,e4_t166,0.0667,6,FZ
e4_t161,e4_t164,0.0667,3,FZ
e4_t167,e4_t229,0.0667,62,FZ
e4_t168,e4_t171,0.0667,3,FZ
e4_t168,e4_t229,0.0667,61,FZ
e4_t173,e4_t229,0.0667,56,FZ
e4_t174,e4_t229,0.0667,55,FZ
e4_t175,e4_t228,0.0667,53,FZ
e4_t177,e4_t224,0.0667,47,FZ
e4_t178,e4_t224,0.0667,46,FZ
e4_t179,e4_t224,0.0667,45,FZ
e4_t193,e4_t196,0.0667,3,FZ
e4_t199,e4_t211,0.0667,12,FZ
e4_t200,e4_t211,0.0667,11,FZ
e4_t206,e4_t209,0.0667,3,FZ
e4_t206,e4_t210,0.0667,4,FZ
e4_t212,e4_t217,0.0667,5,FZ
e4_t212,e4_t223,0.0667,11,FZ
e4_t218,e4_t223,0.0667,5,FZ
e4_t219,e4_t223,0.0667,4,FZ
e4_t220,e4_t222,0.0667,2,FZ
e4_t225,e4_t228,0.0667,3,FZ
e4_t227,e4_t228,0.1333,1,FZ
e4_t228,e4_t229,0.0667,1,FZ
e4_t231,e4_t236,0.0667,5,FZ
e4_t232,e4_t235,0.0667,3,FZ
e4_t240,e4_t244,0.0667,4,FZ
e4_t246,e4_t247,0.1333,1,FZ
e4_t251,e4_t252,0.2,1,FZ
e4_t252,e4_t253,0.1333,1,FZ
e4_t0,e4_t6,0.0667,6,FZ
e4_t2,e4_t5,0.0667,3,FZ
e4_t5,e4_t6,0.0667,1,FZ
e4_t17,e4_t24,0.0667,7,FZ
e4_t19,e4_t23,0.0667,4,FZ
e4_t27,e4_t32,0.0667,5,FZ
e4_t35,e4_t39,0.0667,4,FZ
e4_t36,e4_t38,0.0667,2,FZ
e4_t41,e4_t44,0.0667,3,FZ
e4_t49,e4_t57,0.0667,8,FZ
e4_t50,e4_t57,0.0667,7,FZ
e4_t52,e4_t56,0.0667,4,FZ
e4_t61,e4_t67,0.0667,6,FZ
e4_t68,e4_t111,0.0667,43,FZ
e4_t69,e4_t93,0.0667,24,FZ
e4_t69,e4_t106,0.0667,37,FZ
e4_t69,e4_t111,0.0667,42,FZ
e4_t70,e4_t75,0.0667,5,FZ
e4_t79,e4_t80,0.0667,1,FZ
e4_t80,e4_t81,0.0667,1,FZ
e4_t80,e4_t84,0.0667,4,FZ
e4_t80,e4_t85,0.0667,5,FZ
e4_t81,e4_t83,0.0667,2,FZ
e4_t81,e4_t84,0.0667,3,FZ
e4_t84,e4_t85,0.1333,1,FZ
e4_t86,e4_t92,0.0667,6,FZ
e4_t86,e4_t93,0.0667,7,FZ
e4_t88,e4_t92,0.0667,4,FZ
e4_t89,e4_t91,0.0667,2,FZ
e4_t92,e4_t93,0.0667,1,FZ
e4_t94,e4_t99,0.0667,5,FZ
e4_t137,e4_t141,0.0667,4,FZ
e4_t141,e4_t253,0.0667,112,FZ
e4_t142,e4_t154,0.0667,12,FZ
e4_t142,e4_t253,0.0667,111,FZ
e4_t143,e4_t146,0.0667,3,FZ
e4_t149,e4_t150,0.1333,1,FZ
e4_t149,e4_t151,0.0667,2,FZ
e4_t155,e4_t178,0.0667,23,FZ
e4_t156,e4_t173,0.0667,17,FZ
e4_t157,e4_t166,0.0667,9,FZ
e4_t158,e4_t165,0.0667,7,FZ
e4_t168,e4_t172,0.1333,4,FZ
e4_t169,e4_t171,0.0667,2,FZ
e4_t173,e4_t176,0.0667,3,FZ
e4_t173,e4_t177,0.0667,4,FZ
e4_t180,e4_t183,0.0667,3,FZ
e4_t180,e4_t184,0.0667,4,FZ
e4_t180,e4_t188,0.0667,8,FZ
e4_t180,e4_t189,0.0667,9,FZ
e4_t180,e4_t215,0.0667,35,FZ
e4_t190,e4_t214,0.0667,24,FZ
e4_t191,e4_t207,0.0667,16,FZ
e4_t191,e4_t214,0.0667,23,FZ
e4_t193,e4_t207,0.0667,14,FZ
e4_t198,e4_t206,0.0667,8,FZ
e4_t199,e4_t206,0.0667,7,FZ
e4_t200,e4_t205,0.0667,5,FZ
e4_t200,e4_t206,0.0667,6,FZ
e4_t201,e4_t204,0.0667,3,FZ
e4_t207,e4_t214,0.0667,7,FZ
e4_t209,e4_t212,0.1333,3,FZ
e4_t209,e4_t213,0.1333,4,FZ
e4_t210,e4_t212,0.0667,2,FZ
e4_t215,e4_t229,0.0667,14,FZ
e4_t216,e4_t224,0.0667,8,FZ
e4_t217,e4_t221,0.0667,4,FZ
e4_t217,e4_t222,0.0667,5,FZ
e4_t231,e4_t252,0.0667,21,FZ
e4_t232,e4_t252,0.0667,20,FZ
e4_t233,e4_t239,0.0667,6,FZ
e4_t239,e4_t245,0.0667,6,FZ
e4_t240,e4_t245,0.0667,5,FZ
e4_t241,e4_t244,0.0667,3,FZ
e4_t246,e4_t252,0.0667,6,FZ
e4_t247,e4_t251,0.0667,4,FZ
e4_t247,e4_t252,0.0667,5,FZ
e4_t248,e4_t250,0.0667,2,FZ
e4_t248,e4_t251,0.0667,3,FZ
e4_t0,e4_t3,0.0667,3,FZ
e4_t3,e4_t4,0.0667,1,FZ
e4_t6,e4_t17,0.0667,11,FZ
e4_t7,e4_t17,0.0667,10,FZ
e4_t9,e4_t16,0.0667,7,FZ
e4_t10,e4_t16,0.0667,6,FZ
e4_t11,e4_t16,0.0667,5,FZ
e4_t12,e4_t16,0.0667,4,FZ
e4_t15,e4_t16,0.0667,1,FZ
e4_t20,e4_t23,0.0667,3,FZ
e4_t20,e4_t24,0.0667,4,FZ
e4_t24,e4_t134,0.0667,110,FZ
e4_t25,e4_t30,0.0667,5,FZ
e4_t25,e4_t36,0.0667,11,FZ
e4_t25,e4_t134,0.0667,109,FZ
e4_t27,e4_t29,0.0667,2,FZ
e4_t31,e4_t34,0.0667,3,FZ
e4_t37,e4_t42,0.0667,5,FZ
e4_t42,e4_t133,0.0667,91,FZ
e4_t43,e4_t47,0.0667,4,FZ
e4_t48,e4_t133,0.0667,85,FZ
e4_t49,e4_t133,0.0667,84,FZ
e4_t50,e4_t53,0.0667,3,FZ
e4_t50,e4_t132,0.0667,82,FZ
e4_t54,e4_t58,0.0667,4,FZ
e4_t54,e4_t59,0.0667,5,FZ
e4_t55,e4_t57,0.0667,2,FZ
e4_t64,e4_t70,0.0667,6,FZ
e4_t65,e4_t70,0.0667,5,FZ
e4_t66,e4_t68,0.0667,2,FZ
e4_t71,e4_t131,0.0667,60,FZ
e4_t81,e4_t86,0.0667,5,FZ
e4_t83,e4_t85,0.0667,2,FZ
e4_t87,e4_t121,0.0667,34,FZ
e4_t87,e4_t122,0.0667,35,FZ
e4_t87,e4_t126,0.0667,39,FZ
e4_t87,e4_t131,0.0667,44,FZ
e4_t88,e4_t110,0.0667,22,FZ
e4_t88,e4_t111,0.0667,23,FZ
e4_t88,e4_t112,0.0667,24,FZ
e4_t89,e4_t95,0.0667,6,FZ
e4_t89,e4_t96,0.0667,7,FZ
e4_t89,e4_t97,0.0667,8,FZ
e4_t89,e4_t110,0.0667,21,FZ
e4_t99,e4_t101,0.0667,2,FZ
e4_t104,e4_t110,0.0667,6,FZ
e4_t105,e4_t108,0.0667,3,FZ
e4_t142,e4_t225,0.0667,83,FZ
e4_t148,e4_t225,0.0667,77,FZ
e4_t149,e4_t214,0.0667,65,FZ
e4_t160,e4_t196,0.0667,36,FZ
e4_t162,e4_t164,0.0667,2,FZ
e4_t162,e4_t196,0.0667,34,FZ
e4_t168,e4_t170,0.0667,2,FZ
e4_t182,e4_t189,0.0667,7,FZ
e4_t183,e4_t187,0.0667,4,FZ
e4_t184,e4_t185,0.0667,1,FZ
e4_t184,e4_t186,0.0667,2,FZ
e4_t187,e4_t188,0.0667,1,FZ
e4_t189,e4_t196,0.0667,7,FZ
e4_t191,e4_t194,0.0667,3,FZ
e4_t191,e4_t195,0.0667,4,FZ
e4_t198,e4_t208,0.0667,10,FZ
e4_t199,e4_t202,0.0667,3,FZ
e4_t204,e4_t207,0.0667,3,FZ
e4_t215,e4_t219,0.0667,4,FZ
e4_t216,e4_t218,0.0667,2,FZ
e4_t226,e4_t227,0.0667,1,FZ
e4_t226,e4_t231,0.0667,5,FZ
e4_t226,e4_t232,0.0667,6,FZ
e4_t227,e4_t230,0.0667,3,FZ
e4_t232,e4_t255,0.0667,23,FZ
e4_t233,e4_t237,0.0667,4,FZ
e4_t233,e4_t255,0.0667,22,FZ
e4_t238,e4_t255,0.0667,17,FZ
e4_t239,e4_t243,0.0667,4,FZ
e4_t239,e4_t244,0.0667,5,FZ
e4_t240,e4_t242,0.0667,2,FZ
e4_t242,e4_t243,0.0667,1,FZ
e4_t244,e4_t248,0.0667,4,FZ
e4_t244,e4_t249,0.0667,5,FZ
e4_t246,e4_t248,0.0667,2,FZ
e4_t250,e4_t255,0.0667,5,FZ
e4_t251,e4_t253,0.0667,2,FZ
e4_t251,e4_t254,0.0667,3,FZ
e5_t56,e5_t57,0.2,1,F4
e5_t57,e5_t58,0.2667,1,F4
e5_t79,e5_t80,0.1333,1,F4
e5_t80,e5_t81,0.2,1,F4
e5_t92,e5_t93,0.3333,1,F4
e5_t93,e5_t94,0.2,1,F4
e5_t108,e5_t109,0.2667,1,F4
e5_t109,e5_t110,0.2,1,F4
e5_t136,e5_t137,0.2667,1,F4
e5_t137,e5_t138,0.2,1,F4
e5_t151,e5_t152,0.3333,1,F4
e5_t151,e5_t245,0.0667,94,F4
e5_t151,e5_t246,0.0667,95,F4
e5_t151,e5_t247,0.0667,96,F4
e5_t152,e5_t153,0.2,1,F4
e5_t152,e5_t228,0.0667,76,F4
e5_t152,e5_t229,0.0667,77,F4
e5_t152,e5_t240,0.0667,88,F4
e5_t152,e5_t241,0.0667,89,F4
e5_t153,e5_t154,0.2,1,F4
e5_t153,e5_t225,0.0667,72,F4
e5_t154,e5_t155,0.1333,1,F4
e5_t154,e5_t209,0.0667,55,F4
e5_t154,e5_t210,0.0667,56,F4
e5_t154,e5_t211,0.0667,57,F4
e5_t154,e5_t213,0.0667,59,F4
e5_t154,e5_t214,0.0667,60,F4
e5_t155,e5_t156,0.2,1,F4
e5_t155,e5_t208,0.0667,53,F4
e5_t156,e5_t157,0.2667,1,F4
e5_t156,e5_t194,0.0667,38,F4
e5_t156,e5_t195,0.0667,39,F4
e5_t157,e5_t158,0.2,1,F4
e5_t158,e5_t159,0.2,1,F4
e5_t187,e5_t188,0.3333,1,F4
e5_t188,e5_t189,0.4667,1,F4
e5_t197,e5_t207,0.0667,10,F4
e5_t198,e5_t207,0.0667,9,F4
e5_t199,e5_t200,0.2,1,F4
e5_t200,e5_t201,0.2,1,F4
e5_t200,e5_t206,0.2,6,F4
e5_t201,e5_t202,0.2667,1,F4
e5_t201,e5_t205,0.1333,4,F4
e5_t204,e5_t205,0.4667,1,F4
e5_t205,e5_t206,0.3333,1,F4
e5_t206,e5_t207,0.2667,1,F4
e5_t207,e5_t208,0.2667,1,F4
e5_t208,e5_t209,0.3333,1,F4
e5_t216,e5_t217,0.3333,1,F4
e5_t217,e5_t218,0.3333,1,F4
e5_t224,e5_t225,0.3333,1,F4
e5_t225,e5_t226,0.2667,1,F4
e5_t232,e5_t233,0.2,1,F4
e5_t236,e5_t237,0.4,1,F4
e5_t237,e5_t238,0.2667,1,F4
e5_t248,e5_t249,0.3333,1,F4
e5_t249,e5_t250,0.5333,1,F4
e5_t250,e5_t251,0.2667,1,F4
e5_t41,e5_t42,0.4667,1,F4
e5_t59,e5_t60,0.2667,1,F4
e5_t60,e5_t61,0.3333,1,F4
e5_t104,e5_t105,0.3333,1,F4
e5_t172,e5_t173,0.3333,1,F4
e5_t182,e5_t190,0.0667,8,F4
e5_t189,e5_t190,0.3333,1,F4
e5_t190,e5_t191,0.1333,1,F4
e5_t224,e5_t237,0.0667,13,F4
e5_t13,e5_t14,0.2667,1,F4
e5_t24,e5_t25,0.2,1,F4
e5_t39,e5_t40,0.2667,1,F4
e5_t39,e5_t61,0.0667,22,F4
e5_t40,e5_t41,0.4667,1,F4
e5_t88,e5_t89,0.2667,1,F4
e5_t89,e5_t90,0.2667,1,F4
e5_t89,e5_t119,0.0667,30,F4
e5_t100,e5_t101,0.2667,1,F4
e5_t184,e5_t185,0.2,1,F4
e5_t184,e5_t190,0.0667,6,F4
e5_t6,e5_t13,0.0667,7,F4
e5_t11,e5_t12,0.2667,1,F4
e5_t12,e5_t13,0.3333,1,F4
e5_t25,e5_t26,0.2,1,F4
e5_t28,e5_t29,0.2667,1,F4
e5_t61,e5_t62,0.2,1,F4
e5_t64,e5_t65,0.2,1,F4
e5_t72,e5_t73,0.3333,1,F4
e5_t73,e5_t74,0.3333,1,F4
e5_t73,e5_t77,0.1333,4,F4
e5_t80,e5_t93,0.0667,13,F4
e5_t88,e5_t92,0.0667,4,F4
e5_t91,e5_t92,0.3333,1,F4
e5_t171,e5_t172,0.2667,1,F4
e5_t215,e5_t216,0.3333,1,F4
e5_t220,e5_t221,0.2667,1,F4
e5_t221,e5_t222,0.2667,1,F4
e5_t10,e5_t11,0.2667,1,F4
e5_t19,e5_t20,0.1333,1,F4
e5_t20,e5_t21,0.2,1,F4
e5_t29,e5_t30,0.2,1,F4
e5_t30,e5_t31,0.3333,1,F4
e5_t30,e5_t67,0.0667,37,F4
e5_t31,e5_t32,0.2667,1,F4
e5_t31,e5_t66,0.0667,35,F4
e5_t32,e5_t33,0.3333,1,F4
e5_t32,e5_t64,0.0667,32,F4
e5_t33,e5_t34,0.2,1,F4
e5_t33,e5_t63,0.0667,30,F4
e5_t34,e5_t35,0.2,1,F4
e5_t34,e5_t61,0.0667,27,F4
e5_t34,e5_t63,0.0667,29,F4
e5_t35,e5_t36,0.2667,1,F4
e5_t35,e5_t59,0.0667,24,F4
e5_t36,e5_t37,0.2667,1,F4
e5_t36,e5_t57,0.0667,21,F4
e5_t37,e5_t38,0.1333,1,F4
e5_t38,e5_t39,0.0667,1,F4
e5_t38,e5_t56,0.0667,18,F4
e5_t39,e5_t55,0.0667,16,F4
e5_t40,e5_t54,0.0667,14,F4
e5_t41,e5_t51,0.0667,10,F4
e5_t41,e5_t53,0.0667,12,F4
e5_t42,e5_t43,0.2667,1,F4
e5_t42,e5_t49,0.0667,7,F4
e5_t51,e5_t52,0.1333,1,F4
e5_t52,e5_t53,0.2,1,F4
e5_t53,e5_t54,0.2,1,F4
e5_t54,e5_t55,0.1333,1,F4
e5_t55,e5_t56,0.2,1,F4
e5_t58,e5_t59,0.2667,1,F4
e5_t62,e5_t63,0.2667,1,F4
e5_t63,e5_t64,0.2,1,F4
e5_t65,e5_t66,0.2,1,F4
e5_t66,e5_t67,0.2,1,F4
e5_t67,e5_t68,0.1333,1,F4
e5_t68,e5_t69,0.2,1,F4
e5_t75,e5_t76,0.2,1,F4
e5_t159,e5_t189,0.0667,30,F4
e5_t161,e5_t188,0.0667,27,F4
e5_t121,e5_t122,0.2667,1,F4
e5_t169,e5_t170,0.2,1,F4
e5_t197,e5_t198,0.1333,1,F4
e5_t207,e5_t213,0.0667,6,F4
e5_t208,e5_t213,0.1333,5,F4
e5_t212,e5_t213,0.3333,1,F4
e5_t213,e5_t214,0.2667,1,F4
e5_t217,e5_t221,0.0667,4,F4
e5_t217,e5_t222,0.0667,5,F4
e5_t217,e5_t232,0.0667,15,F4
e5_t218,e5_t219,0.3333,1,F4
e5_t225,e5_t231,0.0667,6,F4
e5_t226,e5_t227,0.0667,1,F4
e5_t226,e5_t231,0.0667,5,F4
e5_t229,e5_t230,0.2667,1,F4
e5_t230,e5_t231,0.2667,1,F4
e5_t233,e5_t234,0.3333,1,F4
e5_t234,e5_t235,0.2667,1,F4
e5_t234,e5_t237,0.0667,3,F4
e5_t235,e5_t237,0.0667,2,F4
e5_t239,e5_t240,0.2,1,F4
e5_t240,e5_t241,0.3333,1,F4
e5_t241,e5_t242,0.2667,1,F4
e5_t241,e5_t244,0.0667,3,F4
e5_t251,e5_t255,0.0667,4,F4
e5_t254,e5_t255,0.3333,1,F4
e5_t0,e5_t1,0.1333,1,F4
e5_t9,e5_t11,0.0667,2,F4
e5_t14,e5_t23,0.0667,9,F4
e5_t15,e5_t23,0.0667,8,F4
e5_t18,e5_t22,0.0667,4,F4
e5_t21,e5_t22,0.2667,1,F4
e5_t22,e5_t23,0.1333,1,F4
e5_t25,e5_t29,0.0667,4,F4
e5_t26,e5_t28,0.0667,2,F4
e5_t27,e5_t28,0.2,1,F4
e5_t30,e5_t42,0.0667,12,F4
e5_t31,e5_t35,0.0667,4,F4
e5_t31,e5_t36,0.0667,5,F4
e5_t31,e5_t41,0.0667,10,F4
e5_t44,e5_t45,0.3333,1,F4
e5_t45,e5_t46,0.2,1,F4
e5_t45,e5_t51,0.0667,6,F4
